,text
77,"Finn says Aah! Oh, Huntress Wizard!"
78,"Huntress Wizard says Hey, Finn. She uses a magic arrow to create a vine in the direction of the monster. Come on! After that booger!"
79,"Finn climbs onto her back and Huntress Wizard hops onto the vine, going in pursuit of the monster again."
80,"Finn says Thanks for the save, HW."
81,Huntress Wizard says Mm-hmm.
82,"Finn says You're chasing that grabby banana too, huh?"
83,Huntress Wizard says I'm hunting it. It's an invasive species that's been destroying the local ecosystem with its nasty hot fudge. It's name is the Grumbo. It's a name that I made up just now... because you can't hunt what you can't name.
84,"Finn says Yeah, makes sense."
85,Huntress Wizard says Hmm.
86,Finn says Small talking So how you been?
87,"Huntress Wizard says Finn, I saw you falter back there. Why did you hesitate before you dealt the final blow?"
88,"Finn says Sighs It keeps happening since I aced Fern. Every time I'm about to wail on some monster, I remember seeing Fern go kaboom... and the guilt paralyzes me. I can't seem to final blow anybody."
89,A flashback to Fern's death is shown while Finn talks.
90,"Huntress Wizard says I see. Okay, let's vanquish your mental block. Because I'll need your help to defeat the Grumbo. It's a two-huntress job."
91,Finn says The second huntress is me.
92,Huntress Wizard says Yes.
93,"Huntress Wizard leaps down from the vine, startling a fat squirrel which is eating the fudge left behind by the Grumbo."
94,"Huntress Wizard says The trail goes gold here. I mean, the fudge is still hot, but that squirrel dude just ate most of it."
95,"Finn says Climbing off her back. What? No! Ugh, I should have struck when I had the chance! Or not struck Fern when I didn't have the chance? Ugh! I don't even know anymore."
96,"Huntress Wizard says This is just me talking, but it sounds like Fern was already headed down a dark road. Sounds like he was a bad version of yourself that you had to destroy in order to become an even tighter version of yourself. Does that sounds about right?"
97,They hear a distant whimpering and follow it to a cave.
98,"Huntress Wizard says Looks like we got some hot fudge on our hands. Okay, let's review our roles. When I take out its legs, you strike the underbelly. Got it?"
99,"Huntress Wizard manifests a javelin, and Finn draws his sword. They enter the cave."
100,Finn says I can do this. I'm 90% sure I can do this. Gonna slice right through that sweet Fern face.
101,Huntress Wizard says Shh!
102,"The whimpering continues, and the Grumbo can be heard snoring. Finn and Huntress Wizard find it asleep, hanging from the roof of the cave."
103,Huntress Wizard says Ready?
104,Finn says Unconvincingly Yes.
105,"Huntress hurls her javelin at the Grumbo, but it wakes up and dodges the attack. It drops to the floor to face its attackers."
106,Huntress Wizard says Duck - I guess.
107,Finn says Huh?
108,"Huntress Wizard avoids the Grumbo's headbutt, but Finn fails to react and is thrown across the room. Huntress runs up to the creature and kicks it in the chin."
109,Huntress Wizard says Bicycle kick!
110,She manifests an arrow with rope and uses it to bind the Grumbo's legs together. It crashes to the floor.
111,"Huntress Wizard says Now, Finn! Coop-degrassi!"
112,"Finn says Okay, time to final blow it!"
113,"He leaps onto the Grumbo's neck with a battlecry and raises his sword. Once again, Fern's face appears."
114,"Fern face says Finn, don't you love me?"
115,"Finn says To Huntress Uh, can we maybe switch roles?"
116,Huntress Wizard says Struggling to keep the Grumbo bound Not again.
117,The Grumbo punches Finn away and catapults Huntress Wizard into a wall. The vines binding its legs discorporate.
118,Finn says Oops! Oops. Oops. Oops!
119,The Grumbo spits fudge at Finn. He leaps over the projectile and it sears his lower regions.
120,"Finn says High pitch voice HW, let's come back and try tomorrow!"
121,Huntress Wizard says To herself Okay...
122,"She throws another javelin at the Grumbo, distracting it from its attack against Finn. She stands T-posed, allowing it to charge at her."
123,"Finn says Huntress Wizard, get out of the way!"
124,"Huntress Wizard remains where she is, watching the creature approach and doing nothing in response."
125,"Finn says Think, think, think! Growls Okay, if I can't fix my mind, I gotta fool it. He points his sword at Huntress Wizard and thinks to himself. Attack. Attack. Attack."
126,Fern's face appears superimposed over Huntress Wizard's.
127,"Fern face says Finn, help me."
128,"Finn says I'll save you, buddy."
129,"Finn chases the monster and finally sinks his sword into its underbelly. It screeches and collapses, its huge body finally coming to rest just inches from Huntress Wizard's face. Fern pulls his sword from its belly with a grunt. The Grumbo's body bursts, covering Finn, Huntress, and the cave in banana goop. Finn's sword disintegrates from being covered in hot fudge."
130,Finn says I did it. Sorry I almost got you killed.
131,Huntress Wizard says It's cool. It's totally cool. I knew you just needed a push. That's why I very smartly pretended to throw myself in harm's way. She take's Finn's hand and helps him up.
132,"Finn says No, actually, that's not what did it."
133,"Huntress Wizard says Yeah, right. We both know you're totally in love with me."
134,"Finn smiles, and they kiss. When Finn opens his eyes, Fern is superimposed over Huntress Wizard's face again, and he gives a high pitched scream. A group of peeled banana guards emerge from another part of the cave, groaning."
135,"Banana Guard says Finn? Are you here to rescue us? Oh, glob! There's someone else here too!"
136,"Another Guard says I don't have my peel! Don't look, don't look anyone! The banana guards continue indistinctly, embarrassed."
137,"Finn says It's okay, guys. Huntress Wizard is into natchy living."
138,Huntress Wizard says Weird. These Grumbo remains are 100% artificial candy flesh - like straight out of a lab.
139,Finn says I wonder who made him.
140,A camera watches them from above. The scene changes to the ziggurat.
141,"Mysterious character says Who indeed? Who is the brilliant puppet master working tirelessly behind the scenes, completely unfazed by this minor, minor setback? He crosses out a picture of the Grumbo. Why, it's me - Uncle G. Ready yourself, Princezzin! Your boy hero will be no match for my next creation."
142,An unknown monster is seen twitching in a tank.
143,The episode opens in the Tree House. Finn is eating cereal and Jake is sipping coffee.
144,Finn says Takes a spoonful of cereal and munches twice.
145,Jake says Slurps
146,Finn says Huh?
147,Jake says I was just sipping my coffee.
148,Finn says Oh. Takes a spoonful of cereal and munches twice.
149,Jake says Slurps
150,Finn says Munching
151,Jake says Slurp
152,Finn says Munching
153,Jake says Slurp
154,"Both of them notice the pattern and begin repeating it rhythmically. On the third repeat, Finn only munches his cereal once, tricking Jake into sipping early and breaking the pattern. They both laugh. BMO joins them."
155,BMO says I am also excited about today.
156,"Jake says Oh, yeah?"
157,BMO says Today is the first day of my new job.
158,"Finn says What's your new job, BMO?"
159,"Jake says Yeah, are you a spy? You know, 'cause of the overcoat?"
160,BMO says I'm a door-to-door salesman.
161,Finn and Jake says Together Oh.
162,Jake says What are you selling?
163,"BMO says I've got so many great things. Like for the man about town, this piece of lint."
164,Jake says I'll take it! He takes the lint.
165,"BMO says Hooray, my first sale! That'll be four doubloons."
166,Jake says Can I pay you later?
167,"BMO says Mm, the customer is always right!"
168,"Jake says Good attitude, BMO."
169,"BMO says Well, gentlemen... got to chop that wood."
170,"BMO stands up clumsily, revealing that someone else is inside the overcoat and BMO is sitting on their head, pretending they are his own body. ""BMO"" almost knocks a glass off the table, but Finn catches it. He notices Ice King's robes and feet sticking out the bottom of the overcoat."
171,Finn says Whispering to Jake It's Ice King.
172,Jake says Whispering back I know.
173,Ice King says Peeks his face out the front of the overcoat and spots that Finn and Jake have seen him. Oh! He quickly closes the overcoat.
174,"BMO says Exiting Okay, wish me luck, fellas, even though I don't need-"
175,"Ice King falls down the ladder, interrupting BMO. They both scream as they fall. There is a thud. Finn and Jake giggle at their shenanigans."
176,Finn and Jake says Together Aww.
177,BMO and Ice King leave the Tree House.
178,"Ice King says Boy, this is great, huh? You and me out in the fresh air? Now, the key to being a tip-top salesman is to get the ol' foot in the door."
179,"BMO says Bodies don't talk, Ice King."
180,"Ice King says Well, mine does."
181,"BMO says Okay, then. If I say ""My feet hurt,"" you can go ""Woof woof."" That's my dogs barking."
182,"Ice King says BMO, I think we're gonna make an unbeatable team."
183,"BMO says Yeah, yeah! Let's go! Let's go! Let's go! Let's go! Kicking the sides of Ice King's head and laughing."
184,"A sword logo flies onto screen reading ""Potential customer time!"" The scene changes to Tree Trunks' house."
185,"Tree Trunks says Reading as she types on a typewriter ""Chapter 3 says No Time For Sleeping. Elizabeth's heart was racing like a water mill after spring thaw. She knew her enemies were coming for her, but when? Suddenly, there was a knock at the door."""
186,"Suddenly, there is a knock at the door."
187,"Tree Trunks says Oh! Oh. Oh, my goodness. Someone's at the door. That's all. She opens the door, finding BMO and Ice King. Hello."
188,"BMO says Tree Trunks, how are your children? Can you believe this weather? After some fumbling, Ice King tips BMO's hat politely."
189,"Tree Trunks says So polite. Please, please come in."
190,BMO says Taking a seat You have a lovely home.
191,"Tree Trunks says Here, have some apple pie."
192,"BMO says Oh, thank you."
193,Ice King snatches the apple pie and takes it inside the overcoat.
194,Tree Trunks says Now what can I do for you?
195,"BMO says Oh, well, I'd like to show you what I'm selling today."
196,"He grunts and kicks Ice King, who is busy eating the pie inside the coat. Ice King puts his arms back into the sleeves and rummages through his and BMO's bag."
197,"BMO says Okay, we have a broken branch, a half-eaten sandwich - oh, another ball of lint."
198,Tree Trunks says Another?
199,"BMO says These are selling like red hots. A dust bunny - That's like a cage-free ball of lint. A doll's head, and a little velvet bag, tied tight at the top."
200,"While BMO is presenting the items, Ice King struggles to eat more of the apple pie with his tongue."
201,Tree Trunks says I'll take the branch. My loose cash is up there in the flower jar. Help yourself.
202,"Ice King makes his way to the shelf with the jar, stubbing his toe and smashing several plates on the way. He reaches into the jar and pulls out a huge roll of banknotes."
203,"BMO says Laughs happily as Ice King tosses the money wad from hand to hand. Tree Trunks joins the laughter, not really paying attention as she has been distracted by the branch. You have a lovely home! Ice King falls out the door and they both scream as they exit."
204,"Mr. Pig says Entering What'd you buy, honey bunch?"
205,Tree Trunks says A branch.
206,"Mr. Pig says Huh. Tree Trunks turns him around and starts scratching his back with the branch. Huh? Oh. Ah, Tree Trunks, you're a financial genius."
207,"BMO says Laughing as he and Ice King leave the orchard. I can't believe we unloaded that branch. It wasn't even our best one. Oh, my. Shield my eyes from the sun."
208,Ice King says Why?
209,"BMO says Because I think I see our next customer. They watch a large chipmunk carrying a couple of acorns. Those nuts could be ours. Excuse me, little boy!"
210,"The chipmunk begins running, and Ice King begins chasing."
211,"BMO says How are your children?! Ice King, duck. Jump. Right. Right again. Laughs Left. Jump, jump. Left. Right. Left. Ice King, you're doing so good. You have not bumped into anything."
212,They come to a stop.
213,"Ice King says BMO, where's the customer?"
214,"BMO says Oh, no. I was so excited about you not bumping into anything, I lost the customer. Ice King, I think we are lost."
215,An animal howls. The scene fades to later. BMO and Ice King have arrived at a ziggurat.
216,BMO says Look. A house.
217,Ice King says All I see is the inside of this coat.
218,They approach a door.
219,BMO says And... stop. Knock politely.
220,"Ice King knocks, and footsteps are heard inside. A mysterious figure answers the door and beckons them inside."
221,"BMO says Mysterious sentinel, you have a lovely home. Whispering to Ice King Turn. Continues talking to the mysterious figure How are your children? BMO gasps, noticing that the figure has disappeared."
222,"Ice King wanders further into the zigurrat, where he finds Uncle Gumbald mixing liquids in a pair of test tubes."
223,BMO says Hello.
224,One of the tubes produces a skull-shaped puff of smoke which floats towards BMO and Ice King. Gumbald retrieves an axe from beneath his desk.
225,"BMO says I'm a door-to-door salesman, ma'am."
226,The smoke enters the coat and Ice King is heard choking.
227,"BMO says Chuckling Oh, excuse my indigestion. He kicks Ice King."
228,Ice King says Ouch.
229,"BMO says I have some wonderful new products, like, uh, this ball of lint. No, wait, this is the dust bunny. Uh... Oh, oh! I know - this velvet bag."
230,Gumbald raises the axe menacingly.
231,BMO says Did I mention that it contains Finn's teeth?
232,Gumbald drops the axe to the ground and suddenly adopts a polite manner.
233,"Gumbald says Please, let's go in the parlor, where we can be more comfortable."
234,"The scene changes. BMO, Ice King, and Gumbald are sat in the parlor while Gumbald examines the teeth."
235,Gumbald says And you're sure these are Finn's teeth?
236,BMO says Yes.
237,"Gumbald says The same Finn who serves Princess Bubblegum, obstructs my plans, and plagues my thoughts?"
238,BMO says Yes.
239,Gumbald says Finn the Human's teeth?
240,BMO says That's a BMO guarantee.
241,Ice King says Whispering Psst! Does Finn know you have his teeth? Because I don't think-
242,BMO says Interrupting Hey! I'm trying to close a sale here.
243,"Gumbald says I hope you accept silver. I can pay you immediately. Admiring the teeth Yes, my pretties."
244,The scene changes back to the Tree House. It is night.
245,Jake says Poor little guy. Still wearing out the shoe leather trying to make just one more lousy sale before coming home.
246,Finn says He'll feel better after we have a little party for him.
247,"Finn and Jake have prepared an ""employee of the month"" poster for BMO, and set out some cupcakes on the table."
248,"Jake says Still, it's tough seeing your kid get his heart set on doing something he really sucks at."
249,The door is heard. BMO and Ice King enter.
250,"BMO says Hello, boys. Meet the salesman of the year. Or maybe of the decade. The Chinese food is on me. I mean, check out the loot. Ice King hands Finn a silver goblet."
251,Finn says Whispering to Jake It's real.
252,Jake says What the heck did you sell to get this silver goblet?
253,"BMO says Just a line of smooth talk and pipe dreams. Oh, and a set of human baby teeth."
254,Finn says Where did you even get a set of human baby teeth? Suddenly realizing Human baby teeth!! He rushes up to the bedroom and retrieves a box from a drawer. It's empty. BMO!
255,"BMO says Branches and lint are moving like cray, Jake."
256,Finn shows BMO the empty box accusatively.
257,"BMO says Oh, sure, I sold your baby teeth. I could sell any part of you."
258,"Finn says These were, like, the only things I had left from when I was a little kid."
259,"Jake says Hey, you know what? We'll just go buy back those little pearly whites. I'm sure whoever bought them is like, ""Why did I buy these things?"" What possible use could some guy have for a set of human baby teeth? Unless he's an evil sorcerer or a mad scientist... He wasn't a mad scientist, was he?"
260,BMO says Well...
261,There is a pounding on the door. A load of Baby Teeth Finns break down the door and enter the Tree Fort.
262,"Finn says High pitch shriek Stay back, baby Finns. Babies begin climbing him, and he and Jake both scream."
263,BMO says Groans nervously
264,A baby starts gnawing on Finn's arm. He punts it with his fist and it shatters a window as it flies through.
265,"Finn says They're made out of some kind of hard tooth-like material. Ouch. Ouch! Ice King, freeze these nightmare babies."
266,Ice King says I'm not allowed to wear my crown. It's against BMO's dress code.
267,Jake says Just don't let them climb into your mouth!
268,A baby tries to enter Finn's mouth.
269,"Jake says Hey, there, bitey boys. Get off of there. More babies attack Jake. Where's your baby manners? Eek."
270,BMO says Hmm. Maybe I sold too well.
271,"Ice King says Hey, you're a great salesman. Evil babies are not a problem for you. They're an opportunity."
272,"BMO says Yeah. Where did I put those - Oh, here they are. Ice King pulls out a couple of sledgehammers. Gentlemen, could I interest you in a couple of sledgehammers? Perfect for smashing through minerals or composites."
273,Finn says Being gnawed by babies I'll take one.
274,Jake says Me too!
275,BMO says Great decision.
276,Ice King hands the hammers to Finn and Jake. Finn taps one of the babies and it disintegrates with a poof. He smashes a few more babies.
277,BMO says A little tap is all it takes.
278,Jake says Smashing babies These baby-smashing hammers are great.
279,"They continue smashing all the babies. Gumbald is seen outside, watching through a telescope. After all the babies are smashed, Finn, Jake, and BMO begin sweeping up the mess."
280,BMO says I'm sorry I caused such a mess. It's very bad for business.
281,"Ice King says Well, time to call it a day. He pulls out a clocking-in machine and a punchcard, and clocks out, then places a small hat atop his crown. The ice man leaveth."
282,"BMO says Hey, wait. See you tomorrow, partner. They shake hands."
283,Ice King says Until tomorrow.
284,"Finn says Yeah, you're not doing this tomorrow."
285,"Ice King exits, whistling. Gumbald watches through his telescope."
286,"Gumbald says Hmm. In retrospect, the attack would have worked much better were they not baby teeth. Clears throat."
287,"The episode opens in the evening at a party on the beach. Flags read ""CLAM RAP""."
288,Neptr says Begins rapping Clams and Raps♪ C-C-C-C-Clam Rap ♪♪ Juicy like nectar ♪♪ My name is Neptr ♪♪ I stay rapping no matter what the weather ♪♪ I'm by the fire 'cause it's hot like a dryer... ♪
289,"Finn gets a plate of clams from Crab Princess and goes over to Flame Princess, who is by the bonfire. Neptr continues rapping in the background."
290,"Finn says Clams and rappin'. Doesn't get any better than this, right, Phoebe?"
291,Flame Princess says It's actually my first Clam Rap.
292,"Finn says Begins beatboxing and then continues the Clams and Raps song♪ Clams, clams ♪♪ Ate this plate of clams ♪♪ Utensils weren't provided ♪♪ So I had to use my hands ♪♪ I'm gonna be unhappy ♪♪ If it happens agains ♪Boom!"
293,The other partygoers cheer for Finn.
294,"Finn says Princess, what you got?"
295,"Neptr says Yeah, dump it in, stir it up."
296,"Flame Princess says Rapping♪ I'm like a library book, so check me out ♪♪ Read my front and back cover so you know what I'm about ♪♪ I'm straight droolin', spittin' out rhymes ♪♪ People gather round and they're waiting in lines ♪♪ I got a lot of combinations of words to throw ♪♪ To let you know I got glow ♪♪ I set it 'cause you just don't know ♪♪ So what now? What's up, what's up, bro? ♪"
297,Finn and the audience cheers.
298,"Finn says Rapping♪ You beat me fair and square ♪♪ 'Cause maybe something's in the air ♪♪ I'm wearing unlucky shoes, not my favorite pair ♪"
299,"Audience is unimpressed. Most of them exit, talking among themselves, except for a familiar-looking individual with a mustache."
300,"""Victor Marilyn"" says Hello there, young lady. I heard you lay down some serious rhymes earlier. Eats a clam and hands Flame Princess a business card. My card."
301,Flame Princess says Reading Victor Marilyn? The card burns up in her hands.
302,"""Victor Marilyn"" says I'm a talent scout by trade and, uh... Eats another clam and I'd love to book you for a big-time rap battle next week says Rap Fest Aid."
303,Flame Princess says Whoa. I've never heard of Rap Fest Aid.
304,Finn says It sure sounds like the big time.
305,"""Victor Marilyn"" says But before I can book you anywhere, I'm gonna have to have you sign some waivers and release forms. Boilerplate stuff. Don't bother reading it."
306,Flame Princess says Cheerfully Okay. She signs the papers.
307,"""Victor Marilyn"" says Chuckling Okay! I'll get this paperwork processed, and we'll be in business. ""Victor's"" mustache suddenly pops off, revealing that it was Toronto all along."
308,Finn says Toronto!
309,"Toronto says Laughs Yes, it's me! And I'm making my move from second banana to top dog. As stated in the contract that you just signed, if you lose Rap Fest Aid, the Fire Kingdom becomes my property."
310,Flame Princess says Flaring up What?!
311,"Finn says Aw, don't worry. Look at this mug. You could out-rap him any day of the week."
312,"Toronto says Oh, you won't be facing me. You'll have to beat the most gifted rapper of our time. Son of Rap Bear! See you in a week. He exits, waved off by Neptr."
313,Finn and Flame Princess says Together Son of Rap Bear?
314,Finn says I wonder if he's any relation to Rap Bear.
315,The scene changes to daytime. Finn and Flame Princess approach the Monster where the Party Bears live. It is asleep.
316,Flame Princess says Rap Bear lives in there?
317,Finn says It's surprisingly nice.
318,"They enter the monster's mouth and find Rap Bear sat at a table, face down in a plate of food. Finn knocks on the doorframe."
319,Finn says Knock knock.
320,Rap Bear says Looking up Who's there?
321,Finn says Concerned Rap Bear. What happened?
322,Rap Bear says Groans My son and I were having Sunday dinner. We were lightly rapping back and forth. It turned into a rap battle. He threw out rhyme after rhyme. I couldn't keep up.
323,Finn says You got beat by your own son? Are his rap powers that much greater than yours?
324,Rap Bear says Yes. Why are you asking about my son?
325,Finn says Flame Princess is going up against him one on one in a freestyle battle.
326,"Rap Bear says Gasps That kid will take you apart. Rap Bear wheels himself out from under the table, revealing that he is in a wheelchair and both his legs are missing. He rapped my legs off."
327,Finn and Flame Princess look shocked. The scene changes to the Candy Kingdom in the evening. Finn and Flame Princess approach the Candy Tavern.
328,"Finn says Rap Bear, Son of Rap Bear's father, said his son, Son of Rap Bear, would be at tonight's open mic."
329,They enter. A small audience is watching Son of Rap Bear and a gingerbread man engaging in a rap battle.
330,"Flame Princess says Dude, let's sit back here."
331,"Gingerbread Rapper says Rapping♪ You're a small bear with fuzzy hair over there ♪♪ Get away from me, I don't wanna share my air ♪♪ Doesn't matter where, anywhere, everywhere with you ♪♪ Chop you in two with my rap kung fu ♪♪ Are you scared of me? Boo! ♪"
332,"Son of Rap Bear says Rapping♪ You're like a cookie who's about to crumble ♪♪ Your rapping is stale, also you mumble ♪♪ Did you just make a mistake smellin' like a cake ♪♪ Who just stumbled into a lyrical rumble? ♪♪ Your raps causes naps ♪♪ You look a little frail and you're about to collapse ♪♪ You'll know you got beat when you hear the people's claps ♪"
333,The gingerbread man's head is blown off by a rap-induced explosion. The audience cheers for Son of Rap Bear.
334,Finn and Flame Princess says Together Whoa.
335,Son of Rap Bear spots Flame Princess.
336,"Son of Rap Bear says Look who decided to come out to play. The news on street says you're gonna battle me at Rap Fest Aid. Rapping♪ This is a joke, right? Hear me out. ♪♪ What are you even gonna rap about? ♪♪ You've been in a bottle since the age of two. ♪♪ I got shampoo more worldly than you ♪♪ I will do laps around your raps ♪♪ I crush my opponents and collect their caps ♪♪ If you wanna keep yours on, I suggest you run ♪♪ People holla at me because I'm number one ♪"
337,Parts of the tavern explode during the rap. Finn and Flame Princess retreat and exit. The scene changes to the two of them walking at night.
338,Flame Princess says Son of Rap Bear is right. I just rap about rapping. I haven't traveled the world or done anything really. Finn! Let's go on some adventures!
339,Finn says What?
340,Flame Princess says It would really help me build up some quick life experience.
341,Finn says I don't know if life is like a test you can cram for.
342,Flame Princess says This is for my kingdom. I've got to try.
343,A montage begins while Flame Princess can be heard rapping the Experience Rap.
344,"Flame Princess says ♪ Unh. Yo. ♪♪ Went along with Finn from mission to mission ♪♪ To win the battle for the Fire Kingdom ♪♪ Worked at Pizza Sassy 'cause I'm not too classy ♪♪ Climbed a rock, had to mind the clock, tick tock ♪♪ I go with Starchy, I hunt ghosts ♪♪ I blow fire with my saxophone ♪♪ I'm a submarine teen, ain't nothin' I ain't seen ♪♪ All around I'm known, I'm the girl on the throne ♪♪ Givin' back rubs, in the bathtubs, hittin' math clubs ♪♪ Makin' mad grub to outspit a rap cub ♪♪ I got solutions to this rap pollution ♪♪ When I'm done with Son of Rap Bear he's gonna need new shins ♪♪ Unh, yeah, I'm experienced ♪♪ Solid like a pebble in aquarium ♪♪ I drop knowledge like I'm Bubblegum if she was librarian ♪Groans"
345,"Finn, Jake, BMO, and Neptr are listening to Flame Princess' rap in the Tree House."
346,Finn says That was good!
347,"Flame Princess says I thought trying new things would make me new and interesting, but I just feel like a hack."
348,"BMO says Maybe there is an interesting thing about you that you just don't realize. Like how Neptr only just found out there is a face on his can, and now he thinks the can is his conjoined twin."
349,Neptr says I don't expect you to understand the bond I share with my family.
350,Flame Princess says Family...
351,"The scene changes. Flame King is sat in his cave, drawing pictures on rocks. He hums cheerfully as he draws a picture of an animal face."
352,Flame King says No room for the body. Let's make him swim.
353,Flame Princess says Knock knock.
354,"Flame King says Is that you, Bun Bun? Aah!"
355,Flame Princess says Hi Dad.
356,"Flame King says You're not here to put me back in lantern jail, are you?"
357,Flame Princess says I guess I wanted to talk.
358,Flame King says Oh.
359,"Flame Princess says It seems like lot's changed since I last saw you. Maybe we actually have a shot at putting the past behind us and, I don't know, being normal with each other."
360,"Flame King says I know exactly what you're saying. I've totally gotten over being in lantern jail, so we're good."
361,"Flame Princess says Well, I was kind of hoping you could acknowledge hurting me, like-"
362,"Flame King says Phoebes, come on. It's better to be thankful for what you have now; an awesome chipmunk dad! ... Uh, I'm gonna put on some music. You're totally welcome to listen, or not. Totally up to you."
363,Flame Princess says So you won't even apologize?
364,Flame King drops an acorn into a nearby tissue box. Three chipmunks appear and one of them begins to rap the Chipmunks Rap. Flame Princess exits angrily.
365,Flame King says Ugh. Drama.
366,"The scene changes to the Wizard Battle Arena, where a crowd has gathered to watch the rap battle."
367,"Toronto says What's up, Rap Fest Aid?! Laughs Ladies and gentlemen, welcome to the battle for the Fire Kingdom! To my left, we have the Flame Princess."
