,generated text
76,Finn's emotions are painfully clear. He's been through so much. He sees the most important thing is that he's here now.
77,"Finn's emotions are low-key. Jake says I don't like war either, but I don't really care. He points at Fern with a menacingly menacingly oversized claw. That's just some primitive bird claw."
78,"Finn's emotions are complicated, and sometimes even dangerous. He struggles to sleep through the night, and wakes up in the daytime with a distorted representation of himself."
79,"Finn's emotions are still raw, but they are suddenly transformed into wild, primal fears."
80,Finn's emotions are not helping.
81,Finn's emotions are not normal; they are erratic.
82,Finn's emotions are not helping; he's hurting Finn.
83,"Finn's emotions are not spiky, and he grunts. Fern shoots a beam of magic at Gumbaldia and Finn, now a ghost, retreats in horror."
84,"Finn's emotions are not restored. He starts to cry bitterly, but soon his body shapeshifts again. A small Finn-shaped hole appears in the ceiling, which turns into a pair of fluffy fluffy globes."
85,"Finn's emotions are not lost, and he grunts as he struggles through the pain. He reaches out into the hole, finding Fern's hand."
86,Finn's emotions are not restored. He shapeshifts to look like Ice King.
87,Finn's emotions are not reciprocated.
88,"Finn's emotions are not bad. When I see you hurting somebody, I see you hurting real people."
89,"Finn's emotions are not clear, but Finn is holding up a picture of himself holding up a typewriter."
